notes,province,ref,Pb64,Pb74,Pb84,Pb64m,Pb74m,Pb84m
christmas,nSEAZ,Bouse et al. 1999,17.699,15.466,37.683,17.716,15.467,37.662
christmas,nSEAZ,Bouse et al. 1999,17.476,15.431,37.191,17.515,15.433,37.251
christmas,nSEAZ,Bouse et al. 1999,17.416,15.465,37.689,17.435,15.466,37.783
christmas,nSEAZ,Bouse et al. 1999,17.385,15.45,37.619,17.44,15.453,37.726
christmas,nSEAZ,Bouse et al. 1999,17.36,15.45,37.626,17.412,15.452,37.707
ray,nSEAZ,Bouse et al. 1999,17.855,15.5,38.102,17.919,15.503,38.213
ray,nSEAZ,Bouse et al. 1999,17.602,15.474,37.801,17.782,15.483,38.015
ray,nSEAZ,Bouse et al. 1999,18.002,15.514,37.969,18.071,15.517,38.078
ray,nSEAZ,Bouse et al. 1999,17.647,15.467,37.801,17.73,15.471,37.931
ray,nSEAZ,Bouse et al. 1999,17.49,15.479,37.747,17.52,15.48,37.8
ray,nSEAZ,Bouse et al. 1999,17.467,15.484,37.732,17.509,15.486,37.797
ray,nSEAZ,Bouse et al. 1999,17.575,15.477,37.801,17.602,15.478,37.828
safford,nSEAZ,Bouse et al. 1999,17.938,15.497,37.741,18,15.5,37.8
safford,nSEAZ,Bouse et al. 1999,17.328,15.474,37.45,17.61,15.487,37.81
safford,nSEAZ,Bouse et al. 1999,17.409,15.468,37.538,17.678,15.481,37.893
safford,nSEAZ,Bouse et al. 1999,17.504,15.448,37.414,17.54,15.45,37.58
safford,nSEAZ,Bouse et al. 1999,17.49,15.456,37.371,17.557,15.459,37.567
safford,nSEAZ,Bouse et al. 1999,17.343,15.451,37.504,17.402,15.454,37.585
copper creek,nSEAZ,Bouse et al. 1999,17.503,15.46,37.574,17.948,15.481,38.039
copper creek,nSEAZ,Bouse et al. 1999,17.558,15.468,37.611,17.953,15.487,37.958
copper creek,nSEAZ,Bouse et al. 1999,17.435,15.444,37.513,17.559,15.45,37.642
Sierrita,sSEAZ,Bouse et al. 1999,18.469,15.56,38.094,18.557,15.564,38.226
Sierrita,sSEAZ,Bouse et al. 1999,18.386,15.554,38.165,18.546,15.562,38.35
Sierrita,sSEAZ,Bouse et al. 1999,18.563,15.584,38.39,18.88,15.599,38.752
Sierrita,sSEAZ,Bouse et al. 1999,18.492,15.583,38.378,18.621,15.589,38.515
Sierrita,sSEAZ,Bouse et al. 1999,18.529,15.587,38.351,18.968,15.608,38.663
tombstone,sSEAZ,Bouse et al. 2000,18.02,15.518,38.2,18.081,15.521,38.327
tombstone,sSEAZ,Bouse et al. 2001,17.934,15.511,38.171,18.025,15.515,38.362
tombstone,sSEAZ,Bouse et al. 2002,18.136,15.536,38.23,18.253,15.542,38.409
tombstone,sSEAZ,Bouse et al. 2003,18.159,15.525,38.213,18.172,15.526,38.38
ajo,sSEAZ,Bouse et al. 2004,18.232,15.543,37.909,18.232,15.543,37.909
ajo,sSEAZ,Bouse et al. 2005,18.183,15.546,37.904,18.183,15.546,37.904
ajo,sSEAZ,Bouse et al. 2006,18.072,15.519,37.884,18.072,15.519,37.884
copper basin,CAZ,Bouse et al. 2007,20.266,15.895,38.968,,,
copper basin,CAZ,Bouse et al. 2008,18.078,15.538,37.695,,,
copper basin,CAZ,Bouse et al. 2009,18.159,15.544,37.995,,,
copper basin,CAZ,Bouse et al. 2010,18.185,15.545,37.935,,,
crown king,CAZ,Bouse et al. 2011,18.445,15.567,37.645,,,