pressure,temperature
0.1,885.2
0.15,859.6
0.2,838.7
0.25,821.2
0.3,806.3
0.35,793.6
0.4,782.5
0.45,772.8
0.5,764.2
0.55,756.6
0.6,749.8
0.65,743.6
0.7,738.1
0.75,733.0
0.8,728.4
0.85,724.1
0.9,720.2
0.95,716.6
1,713.3
1.05,710.2
1.1,707.3
1.15,704.6
1.2,702.1
1.25,699.7
1.3,697.5
1.35,695.4
1.4,693.4
1.45,691.6
1.5,689.8
1.55,688.1
1.6,686.5
1.65,685.0
1.7,683.6
1.75,682.2
1.8,680.9
1.85,679.7
1.9,678.5
1.95,677.3
2,676.3
2.05,675.2
2.1,674.2
2.15,673.3
2.2,672.3
2.25,671.4
2.3,670.6
2.35,669.8
2.4,669.0
2.45,668.2
2.5,667.5
2.55,666.7
2.6,666.1
2.65,665.4
2.7,664.8
2.75,664.1
2.8,663.5
2.85,662.9
2.9,662.4
2.95,661.8
3,661.3
3.05,660.8
3.1,660.3
3.15,659.8
3.2,659.3
3.25,658.8
3.3,658.4
3.35,658.0
3.4,657.5
3.45,657.1
3.5,656.7
3.55,656.3
3.6,655.9
3.65,655.6
3.7,655.2
3.75,654.8
3.8,654.5
3.85,654.2
3.9,653.8
3.95,653.5
4,653.2
4.05,652.9
4.1,652.6
4.15,652.3
4.2,652.0
4.25,651.7
4.3,651.4
4.35,651.2
4.4,650.9
4.45,650.6
4.5,650.4
4.55,650.1
4.6,649.9
4.65,649.7
4.7,649.4
4.75,649.2
4.8,649.0
4.85,648.8
4.9,648.5
4.95,648.3
5,648.1
5.05,647.9
5.1,647.7
5.15,647.5
5.2,647.3
5.25,647.1
5.3,646.9
5.35,646.8
5.4,646.6
5.45,646.4
5.5,646.2
5.55,646.1
5.6,645.9
5.65,645.7
5.7,645.6
5.75,645.4
5.8,645.2
5.85,645.1
5.9,644.9
5.95,644.8
6,644.6
6.05,644.5
6.1,644.3
6.15,644.2
6.2,644.1
6.25,643.9
6.3,643.8
6.35,643.7
6.4,643.5
6.45,643.4
6.5,643.3
6.55,643.2
6.6,643.0
6.65,642.9
6.7,642.8
6.75,642.7
6.8,642.6
6.85,642.4
6.9,642.3
6.95,642.2
7,642.1
7.05,642.0
7.1,641.9
7.15,641.8
7.2,641.7
7.25,641.6
7.3,641.5
7.35,641.4
7.4,641.3
7.45,641.2
7.5,641.1
7.55,641.0
7.6,640.9
7.65,640.8
7.7,640.7
7.75,640.6
7.8,640.5
7.85,640.4
7.9,640.3
7.95,640.3
8,640.2
8.05,640.1
8.1,640.0
8.15,639.9
8.2,639.8
8.25,639.8
8.3,639.7
8.35,639.6
8.4,639.5
8.45,639.5
8.5,639.4
8.55,639.3
8.6,639.2
8.65,639.2
8.7,639.1
8.75,639.0
8.8,638.9
8.85,638.9
8.9,638.8
8.95,638.7
9,638.7
9.05,638.6
9.1,638.5
9.15,638.5
9.2,638.4
9.25,638.3
9.3,638.3
9.35,638.2
9.4,638.1
9.45,638.1
9.5,638.0
9.55,638.0
9.6,637.9
9.65,637.8
9.7,637.8
9.75,637.7
9.8,637.7
9.85,637.6
9.9,637.5
9.95,637.5
10,637.4
10.05,637.4
10.1,637.3
10.15,637.3
10.2,637.2
10.25,637.2
10.3,637.1
10.35,637.1
10.4,637.0
10.45,637.0
10.5,636.9
10.55,636.9
10.6,636.8
10.65,636.8
10.7,636.7
10.75,636.7
10.8,636.6
10.85,636.6
10.9,636.5
10.95,636.5
11,636.4
11.05,636.4
11.1,636.3
11.15,636.3
11.2,636.3
11.25,636.2
11.3,636.2
11.35,636.1
11.4,636.1
11.45,636.0
11.5,636.0
11.55,635.9
11.6,635.9
11.65,635.9
11.7,635.8
11.75,635.8
11.8,635.7
11.85,635.7
11.9,635.7
11.95,635.6
12,635.6
12.05,635.5
12.1,635.5
12.15,635.5
12.2,635.4
12.25,635.4
12.3,635.4
12.35,635.3
12.4,635.3
12.45,635.2
12.5,635.2
12.55,635.2
12.6,635.1
12.65,635.1
12.7,635.1
12.75,635.0
12.8,635.0
12.85,635.0
12.9,634.9
12.95,634.9
13,634.9