Analyst,Unit,Znum,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Th,Th_U,U,date_238_206,date_2sigma
Wotzlaw,FCT,z1,1238,488,0.6,29.5,0.8,3.4,5.2,2.6,23.8,7.5,89.9,36.2,183.5,44.5,423,100.7,10487,176.4,0.65,271.3846154,28.289,0.058
Wotzlaw,FCT,z2,1095,487,0.18,40,0.19,2.1,4.3,1.68,20,6.55,77.3,31.6,166.3,40.4,404,97.9,10853,217,0.56,387.5,28.4,0.028
Wotzlaw,FCT,z3,1443,488,0.5,50,0.9,5.4,8.2,3.7,37.2,10.7,120.4,45.1,211,48.3,455,107.1,9412,324,0.79,410.1265823,28.196,0.038
Wotzlaw,FCT,z4,1808,488,2.5,56.5,0.9,7.4,11.2,4.4,48.3,14,157.1,56.6,266,59,534,117.7,9611,288,0.81,355.5555556,28.215,0.038
Wotzlaw,FCT,z5,851,487,0.9,43.3,0.3,1.6,2.4,1.1,11.7,4.1,54.5,23.5,135.1,34.9,365,94.4,11031,274,0.55,498.1818182,28.383,0.035
Wotzlaw,FCT,z6,1378,487,0.1,55.1,0.7,2.4,4.9,1.5,23.8,7.6,94.9,39.5,210,53,537,134.6,11126,394,0.68,579.4117647,28.332,0.063
Wotzlaw,FCT,z7,918,486,0.3,44.7,0.17,1.08,2.29,0.75,13.6,4.64,61.6,26.5,144.1,36.6,367,89.3,11832,217.5,0.48,453.125,28.452,0.025
Wotzlaw,FCT,z8,559,486,1.13,25.5,0.14,1.2,1.7,0.71,9.6,3.02,37.1,15.8,88,22.5,239.8,60.8,11707,111.1,0.48,231.4583333,28.379,0.051
Wotzlaw,FCT,z9,1580,489,0.42,41.8,0.37,5.29,8.27,3.01,39.8,12.24,140.5,52.3,239.8,51.4,447,92.9,9117,138.5,0.74,187.1621622,28.638,0.025
Wotzlaw,FCT,z10,1530,487,0.09,49.1,0.24,4,7.7,2.65,37.9,11.7,133.9,49.6,233.3,51,446,95.2,10165,177.7,0.68,261.3235294,28.561,0.026
Wotzlaw,FCT,z11,2044,488,0.93,82.7,0.5,6.6,10.9,4.1,50.8,15.2,177,65.4,299,65.2,584,126.6,10033,359,0.87,412.6436782,28.52,0.028
Wotzlaw,FCT,z12,1877,489,0.39,76,0.41,8.1,11.3,4.1,47.6,13.4,152.3,57.4,280,63.4,592,132.7,8945,371,1.05,353.3333333,28.206,0.031
Wotzlaw,FCT,z13,1550,486.3,0.71,54.8,0.31,4,6,2.17,32.5,10.1,122.1,47.6,238.1,55.2,512.9,116.1,11307,271.7,0.59,460.5084746,28.454,0.02
Wotzlaw,FCT,z14,2041,488,0.09,59.9,0.38,6.5,10.7,4.32,53.5,15.93,185.8,67.6,308.4,66,567,117.3,9349,240.7,0.81,297.1604938,28.482,0.023
Wotzlaw,FCT,z15,975,486.2,0.84,40.4,0.11,2.1,3.2,1.04,16.3,5.1,67.2,28.2,151.8,38.6,395,98.9,11450,238.2,0.57,417.8947368,28.341,0.019
Wotzlaw,FCT,z16,1300,487,,47.6,0.06,4.2,6.4,2.3,32.5,9.3,107,40.3,195.5,45.2,425,97.2,10313,260.3,0.71,366.6197183,28.246,0.026
Wotzlaw,FCT,z17,1379,487,0.21,52.6,0.17,3.32,5.7,1.83,29.4,9.41,115,44.1,214.6,48.1,434.6,94.1,10212,174,0.64,271.875,28.551,0.025
Wotzlaw,FCT,z18,1183,486,3.1,98.4,0.4,5.1,5.6,0.99,24.9,7.6,99.4,40.9,221,56.1,563,134.9,12073,281,0.83,338.5542169,28.471,0.031
Wotzlaw,FCT,z19,596,486,,39.8,,1.1,1.7,0.2,10.6,3.3,43.9,18.9,111.5,29.7,319,79,11857,180.5,0.48,376.0416667,28.42,0.032
Wotzlaw,FCT,z20,1084,485,0.8,67.2,0.3,3.3,4.6,1.2,20.5,6.6,87.1,37.2,202,50.6,487,113.8,12782,278,0.54,514.8148148,28.468,0.041
Wotzlaw,FCT,z21,1019,486,0.06,58.1,0.2,2.8,4.9,1.5,23,7.1,92,36.8,186,44.2,420,97.8,11201,252,0.62,406.4516129,28.418,0.027
Wotzlaw,FCT,z22,1866,488,0,77.2,0.6,7.7,13,5.1,58.1,17.5,209.3,76.1,340,71.4,596,119.1,9879,195,0.87,224.137931,28.586,0.032
Wotzlaw,FCT,z23,1009,486,1.51,53.3,0.54,2.2,2.7,0.88,13.6,4.9,61.6,27.6,157.8,41.5,425,108.6,11425,297,0.48,618.75,28.413,0.044
Wotzlaw,FCT,z24,711,485,0.8,46.8,0.1,1.9,2.4,0.5,11.9,3.6,50,22.6,135,36.7,379,97,12394,226,0.49,461.2244898,28.415,0.025
Wotzlaw,NCD,z1,1017,487,0.8,29.7,0.16,3.8,4.6,2.5,25.9,8.1,91.5,36.6,179,45,416,101.4,10615,139.3,0.64,217.65625,28.245,0.032
Wotzlaw,NCD,z2,1676,487,0.15,66.5,0.11,3.5,6.5,2.7,39.5,12.6,144,56.4,259,60.6,523,115.9,10212,197,0.59,333.8983051,28.577,0.025
Wotzlaw,NCD,z3,1669,487,0.14,55.7,0.22,4.8,8.7,3.56,44,14,160,60.5,269,61.1,523,115.2,10269,184,0.68,270.5882353,28.518,0.023
Wotzlaw,NCD,z4,904,487,4.5,55.2,0.7,4.4,2.2,1.1,13.9,4.8,63.3,27.4,157,42.2,431,113.1,11129,239,0.51,468.627451,28.395,0.018
Wotzlaw,NCD,z5,1674,488,1.1,64.4,0.54,5.7,8.1,3.23,44.3,13.8,160,61,269,60.2,499,108.1,9327,175,0.67,261.1940299,28.642,0.025
Wotzlaw,NCD,z6,1108,486,1.97,58,0.32,2.8,2.8,1.37,19.1,6.42,82,35.2,183,48.6,484,121.5,11326,271,0.58,467.2413793,28.392,0.019
Wotzlaw,NCD,z7,798,488,,22.3,0.03,3.1,4.9,2.43,23.6,6.8,74.3,27.4,128,31.2,287,67.6,9525,101.4,0.72,140.8333333,28.204,0.042
Wotzlaw,NCD,z8,1727,487,0.3,59,0.2,6.3,10.4,4.6,52.8,14.7,162,57.7,256,56.9,504,115.2,10838,246,0.65,378.4615385,28.25,0.035
Wotzlaw,NCD,z9,1061,487,,28,,7,5.8,3.9,28,8.6,97,35,196,45,452,113,11063,112,0.62,180.6451613,28.43,0.023
Wotzlaw,NCD,z10,1117,486,6.3,71.7,1.19,6.5,4.3,1.57,20.9,6.9,82,33.8,175,46.9,471,117.6,11836,294,0.55,534.5454545,28.458,0.027
Wotzlaw,NCD,z11,1661,488,0.5,75.2,0.11,4.5,7.3,2.6,39.8,12.4,147,56.4,265,59.7,511,111.9,10048,221,0.66,334.8484848,28.511,0.039
Wotzlaw,NCD,z12,744,486,3.9,44.9,0.4,4.4,2,1.3,12.5,4.3,54.6,22.8,133,35.6,370,98.3,11446,169,0.54,312.962963,28.347,0.022
Wotzlaw,NCD,z13,1425,487,0.29,56.7,0.02,3,4.7,2.17,30.1,9.4,108.3,43.9,230,56.4,534,129.4,10835,318,0.69,460.8695652,28.326,0.023
Wotzlaw,NCD,z14,1748,487,0.04,65.7,0.23,5.6,9.3,3.63,47.1,14.4,164,61.4,283,65.2,566,128.2,10181,241,0.65,370.7692308,28.509,0.027
Wotzlaw,NCD,z15,1560,487,1.15,64.3,0.45,6.3,8.6,3.7,41.8,12.3,137,50.8,241,58.4,529,125,10208,290,0.7,414.2857143,28.428,0.024
Wotzlaw,MLX,z1,1002,487,2.8,51.8,1.1,9.9,12.7,4.4,40.3,9.5,87.3,28.2,131.4,31.4,322,81.9,11127,241.2,0.66,365.4545455,28.395,0.047
Wotzlaw,MLX,z2,3070,488,,132.9,0.5,9.7,16.5,6.8,76,23.5,283,104.2,490,109.6,953,196.6,9471,894,1.06,843.3962264,28.308,0.035
Wotzlaw,MLX,z3,5431,488.2,,443,0.89,19.3,35,14.5,156.2,44.6,485,172.2,775,166,1424,281.8,9470,4559,1.76,2590.340909,28.224,0.043
Wotzlaw,MLX,z4,2277,488.2,,71,0.1,7,11.4,4,61.5,18.3,208.3,75,341,71.8,616,127.6,9480,271.4,0.79,343.5443038,28.502,0.051
Wotzlaw,MLX,z5,2026,487.1,0.13,67.2,0.28,5.9,10.1,3.6,50.8,15.3,174.7,65.7,309,67.4,604,131.5,10517,260.9,0.73,357.3972603,28.458,0.03
Wotzlaw,MLX,z6,2581,489,,75.8,0.3,9.5,16,6.5,75,21.7,242.4,85.4,382,80.5,679,140.1,8862,340.4,1.02,333.7254902,28.405,0.042
Wotzlaw,MLX,z7,1455,488,,46.3,0.13,4.4,7.7,2.72,36.7,11.25,129.6,47.5,219.3,47,413,87,9277,152.1,0.77,197.5324675,28.582,0.028
Wotzlaw,MLX,z8,1903,488.7,,43.1,,5.1,9.5,4.7,52.4,15.1,171.6,62.2,286.3,60.7,521,108.6,8953,222.9,0.91,244.9450549,28.655,0.043
Wotzlaw,MLX,z9,2097,487.4,,62.4,0.3,7.3,12.1,4.44,56,16.7,188.3,68.8,313.9,67.7,582,121.2,10201,236,0.75,314.6666667,28.584,0.024
Wotzlaw,MLX,z10,1451,486,1.18,60.5,0.37,3.9,5.68,1.75,28.6,9.08,135.1,43.8,222.4,53,513,118.7,11570,292.4,0.62,471.6129032,28.475,0.022
Wotzlaw,MLX,z11,1097,488,0.01,54.4,0.09,3.1,5.8,2.03,30,9.4,114.2,43.2,207.5,45.6,395,82.4,9532,121.5,0.64,189.84375,28.565,0.03
Wotzlaw,MLX,z12,3181,487,0.42,75.7,0.3,8.3,14.4,5.9,71,23,271.9,103.4,492,108.9,980,214.5,10211,291.1,0.79,368.4810127,28.422,0.039
Wotzlaw,MLX,z13,1638,487,,69.6,,10.5,14.6,5.4,55.3,15,175,60.9,292,64.8,600,130.2,10653,361,0.96,376.0416667,28.359,0.049
Wotzlaw,MLX,z14,1714,487,0.12,68.3,0.23,6.9,11.2,3.7,51.3,15.3,185.1,66.9,317,69.8,610,127.4,10474,230,0.7,328.5714286,28.485,0.037
Wotzlaw,MLX,z15,1342,486,,78.8,,3.7,6.4,1.7,32.2,9.9,143.5,48,247,58.9,557,124,11507,325,0.65,500,28.454,0.028
Wotzlaw,MLX,z16,1221,486,2.3,66.5,0.3,7.5,7,1.8,32,9.4,117,44.9,229,52,484,109,10237,184,0.77,238.961039,28.611,0.043
Wotzlaw,MLX,z17,3254,488,,145,0.7,17.2,28.3,10.7,122,32.6,376,130.7,568,117,958,191,9709,599,0.76,788.1578947,28.428,0.035
Wotzlaw,MLX,z18,2382,487,,167,,9.4,15.8,5.5,69,20.2,238,89.9,420,91.2,801,169,10708,906,1.17,774.3589744,28.241,0.046
Wotzlaw,MLX,z19,2521,488,,167,0.6,11.2,17.4,6.9,73.6,21.6,254,94,445,99.1,859,179,10014,982,1.35,727.4074074,28.232,0.036
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,