time.before.present.Ga,SK_64,SK_74,SK_84,SK_86,SK_76
1.6,15.95869698,15.35745448,35.60689119,2.231190382,0.962325089
1.58,15.99736831,15.36411536,35.64632795,2.228262004,0.96041518
1.56,16.03591984,15.37064632,35.68572571,2.225361941,0.958513542
1.54,16.07435196,15.37704991,35.7250845,2.222489876,0.956620207
1.52,16.11266503,15.38332859,35.76440436,2.219645496,0.954735208
1.5,16.15085941,15.38948481,35.80368534,2.216828493,0.952858571
1.48,16.18893548,15.39552096,35.84292746,2.214038564,0.950990322
1.46,16.22689361,15.40143938,35.88213078,2.211275408,0.949130484
1.44,16.26473415,15.40724237,35.92129532,2.208538732,0.947279078
1.42,16.30245747,15.41293217,35.96042113,2.205828244,0.945436122
1.4,16.34006393,15.41851099,35.99950824,2.203143659,0.943601632
1.38,16.37755391,15.42398101,36.0385567,2.200484694,0.941775622
1.36,16.41492775,15.42934434,36.07756653,2.197851071,0.939958102
1.34,16.45218581,15.43460305,36.11653779,2.195242517,0.938149084
1.32,16.48932847,15.43975921,36.1554705,2.192658759,0.936348575
1.3,16.52635606,15.44481479,36.1943647,2.190099533,0.934556579
1.28,16.56326896,15.44977177,36.23322044,2.187564576,0.932773102
1.26,16.60006751,15.45463206,36.27203775,2.185053628,0.930998145
1.24,16.63675208,15.45939756,36.31081667,2.182566435,0.929231709
1.22,16.673323,15.46407012,36.34955724,2.180102745,0.927473792
1.2,16.70978064,15.46865153,36.38825949,2.177662309,0.925724393
1.18,16.74612534,15.47314359,36.42692347,2.175244883,0.923983505
1.16,16.78235746,15.47754804,36.4655492,2.172850226,0.922251124
1.14,16.81847735,15.48186658,36.50413673,2.170478099,0.920527243
1.12,16.85448534,15.48610089,36.5426861,2.168128268,0.918811852
1.1,16.8903818,15.49025261,36.58119735,2.165800501,0.917104942
1.08,16.92616705,15.49432336,36.6196705,2.16349457,0.915406501
1.06,16.96184146,15.49831471,36.65810561,2.161210249,0.913716517
1.04,16.99740536,15.50222821,36.6965027,2.158947318,0.912034977
1.02,17.03285909,15.50606538,36.73486182,2.156705555,0.910361866
1,17.06820299,15.50982771,36.773183,2.154484746,0.908697167
0.98,17.10343742,15.51351666,36.81146628,2.152284677,0.907040864
0.96,17.13856269,15.51713365,36.84971169,2.150105137,0.905392939
0.94,17.17357916,15.52068011,36.88791929,2.147945919,0.903753374
0.92,17.20848716,15.52415739,36.92608909,2.145806819,0.902122147
0.9,17.24328703,15.52756684,36.96422114,2.143687632,0.900499239
0.88,17.27797909,15.5309098,37.00231548,2.141588162,0.898884628
0.86,17.31256369,15.53418756,37.04037215,2.139508209,0.897278291
0.84,17.34704116,15.53740139,37.07839117,2.137447581,0.895680205
0.82,17.38141183,15.54055253,37.11637259,2.135406086,0.894090347
0.8,17.41567603,15.54364221,37.15431645,2.133383533,0.892508691
0.78,17.44983408,15.54667163,37.19222279,2.131379737,0.890935212
0.76,17.48388633,15.54964197,37.23009163,2.129394514,0.889369885
0.74,17.51783309,15.55255437,37.26792302,2.12742768,0.887812681
0.72,17.5516747,15.55540996,37.30571699,2.125479057,0.886263575
0.7,17.58541148,15.55820986,37.34347359,2.123548468,0.884722537
0.68,17.61904374,15.56095515,37.38119284,2.121635736,0.883189541
0.66,17.65257183,15.56364689,37.41887479,2.11974069,0.881664555
0.64,17.68599606,15.56628614,37.45651947,2.117863158,0.880147552
0.62,17.71931675,15.56887391,37.49412692,2.116002973,0.878638501
0.6,17.75253422,15.5714112,37.53169718,2.114159968,0.877137371
0.58,17.7856488,15.57389901,37.56923027,2.112333978,0.875644132
0.56,17.81866079,15.57633829,37.60672625,2.110524842,0.874158753
0.54,17.85157053,15.57873,37.64418514,2.108732399,0.872681201
0.52,17.88437832,15.58107506,37.68160699,2.106956491,0.871211444
0.5,17.91708448,15.58337438,37.71899182,2.105196963,0.86974945
0.48,17.94968933,15.58562885,37.75633969,2.103453659,0.868295187
0.46,17.98219318,15.58783935,37.79365061,2.101726427,0.866848621
0.44,18.01459634,15.59000674,37.83092463,2.100015117,0.865409718
0.42,18.04689913,15.59213185,37.86816179,2.09831958,0.863978446
0.4,18.07910185,15.59421552,37.90536212,2.096639669,0.862554769
0.38,18.11120482,15.59625854,37.94252565,2.09497524,0.861138654
0.36,18.14320834,15.59826172,37.97965244,2.093326149,0.859730067
0.34,18.17511273,15.60022582,38.0167425,2.091692254,0.858328972
0.32,18.20691828,15.60215162,38.05379588,2.090073416,0.856935335
0.3,18.23862532,15.60403986,38.09081262,2.088469496,0.855549121
0.28,18.27023413,15.60589127,38.12779274,2.086880358,0.854170295
0.26,18.30174503,15.60770656,38.16473629,2.085305867,0.85279882
0.24,18.33315832,15.60948646,38.2016433,2.08374589,0.851434662
0.22,18.3644743,15.61123163,38.23851381,2.082200296,0.850077785
0.2,18.39569327,15.61294277,38.27534786,2.080668953,0.848728153
0.18,18.42681554,15.61462053,38.31214548,2.079151734,0.84738573
0.16,18.4578414,15.61626557,38.3489067,2.077648512,0.84605048
0.14,18.48877115,15.61787853,38.38563156,2.07615916,0.844722367
0.12,18.51960508,15.61946002,38.42232011,2.074683555,0.843401355
0.1,18.55034351,15.62101067,38.45897237,2.073221574,0.842087407
0.08,18.58098672,15.62253107,38.49558838,2.071773096,0.840780488
0.06,18.611535,15.62402182,38.53216817,2.070338001,0.83948056
0.04,18.64198865,15.6254835,38.56871179,2.068916171,0.838187588
0.02,18.67234797,15.62691666,38.60521926,2.067507489,0.836901534
0,18.70261325,15.62832188,38.64169063,2.066111838,0.835622363